page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  74    77 image    1804   686  icc     3   8  image  no       342  0   278   278 96.6K 2.7%
  75    78 image    1656   428  icc     3   8  image  no       345  0   255   255 41.0K 2.0%
  76    79 image    1588   942  icc     3   8  image  no       351  0   244   244  145K 3.3%
  76    80 image    1556   760  icc     3   8  image  no       352  0   239   239  114K 3.3%
  77    81 image    1798   686  icc     3   8  image  no       355  0   277   276 94.9K 2.6%
  77    82 image    1660   528  icc     3   8  image  no       356  0   255   255 53.6K 2.1%
  78    83 image    1562  1032  icc     3   8  image  no       364  0   240   240  171K 3.6%
  79    84 image    1568   274  icc     3   8  image  no       367  0   241   241 44.5K 3.5%
  79    85 image    1560  1028  icc     3   8  image  no       368  0   240   240  171K 3.6%
  80    86 image    1800   612  icc     3   8  image  no       371  0   277   277 92.5K 2.9%
  80    87 image    1604   406  icc     3   8  image  no       372  0   247   248 46.0K 2.4%
  81    88 image    1882   232  icc     3   8  image  no       378  0   290   289 39.2K 3.1%
  81    89 image    1876   214  icc     3   8  image  no       379  0   289   289 41.0K 3.5%
  81    90 image    1870   234  icc     3   8  image  no       380  0   288   284 37.8K 2.9%
  81    91 image    1802   644  icc     3   8  image  no       381  0   277   277 94.5K 2.8%
  82    92 image    1636   452  icc     3   8  image  no       384  0   252   252 52.9K 2.4%
  82    93 image    1564   230  icc     3   8  image  no       385  0   241   240 34.0K 3.2%
  82    94 image    1566   242  icc     3   8  image  no       386  0   241   242 34.4K 3.1%
  83    95 image    1564   234  icc     3   8  image  no       393  0   241   242 33.8K 3.1%
  83    96 image    1794   682  icc     3   8  image  no       394  0   276   276 99.6K 2.8%
  83    97 image    1660   516  icc     3   8  image  no       395  0   255   257 53.9K 2.1%
  84    98 image    1564  1042  icc     3   8  image  no       398  0   241   240  171K 3.6%
  84    99 image    1566   264  icc     3   8  image  no       399  0   241   241 43.4K 3.6%
  85   100 image    1580  1032  icc     3   8  image  no       402  0   243   243  172K 3.6%
  86   101 image    1622   888  icc     3   8  image  no       405  0   250   250 82.3K 2.0%
  86   102 image    1670   578  icc     3   8  image  no       406  0   257   257 52.1K 1.8%
  87   103 image    1660   538  icc     3   8  image  no       409  0   255   254 56.7K 2.2%
  87   104 image    1670   604  icc     3   8  image  no       410  0   257   258 59.9K 2.0%
  88   105 image    1656   552  icc     3   8  image  no       334  0   255   255 52.7K 2.0%
  88   106 image    1622   502  icc     3   8  image  no       413  0   250   250 55.0K 2.3%
  89   107 image    1504   476  icc     3   8  image  no       416  0   231   232 36.0K 1.7%
  89   108 image    1682   902  icc     3   8  image  no       417  0   259   258 85.4K 1.9%
  90   109 image    1648   846  icc     3   8  image  no       420  0   254   254 79.1K 1.9%
  90   110 image    1464   548  icc     3   8  image  no       421  0   225   226 32.0K 1.4%
  91   111 image    1560  1362  icc     3   8  image  no       424  0   398   399 35.5K 0.6%
  91   112 image    2048  1063  icc     3   8  image  no       425  0   401   400  142K 2.2%
  91   113 smask    2048  1063  gray    1   8  image  no       425  0   401   400 2136B 0.1%
